#{"t_start": 1616014378.9639986, "env_id": "mimocontrol-v0"}
r,l,t
-218,218,9279.378963
-501,501,9285.312304
-501,501,9298.699729
-501,501,9312.932316
-501,501,9327.172578
-501,501,9344.302413
-216,216,9360.079635
-501,501,9366.267804
-501,501,9379.951073
-501,501,9394.258852
-19,19,9408.727235
-501,501,9409.70174
-501,501,9423.310767
-123,123,9435.877771
-501,501,9439.363927
-266,266,9452.723421
-501,501,9460.456475
-501,501,9475.203968
-402,402,9488.910522
-501,501,9500.856147
-501,501,9514.452046
-501,501,9529.464817
-501,501,9544.375403
-325,325,9560.128592
-204,204,9569.321007
-501,501,9575.296736
-17,17,9590.082919
-501,501,9590.935147
-501,501,9603.806117
-501,501,9616.649144
-157,157,9629.159403
-501,501,9633.495894
-258,258,9646.514845
-501,501,9653.363217
-383,383,9666.056467
-501,501,9676.140095
-501,501,9690.228083
-294,294,9702.948871
-501,501,9710.909921
-501,501,9723.855435
-501,501,9736.70484
-501,501,9749.784801
-501,501,9762.915207
-501,501,9776.37828
-501,501,9789.381847
-329,329,9802.031563
-501,501,9810.549656
-501,501,9823.554794
-501,501,9836.320343
-501,501,9849.052922
-501,501,9861.829155
-327,327,9874.822653
-394,394,9883.193222
-501,501,9893.330293
-501,501,9906.038057
-501,501,9918.799476
-501,501,9931.532542
-3,3,9943.879323
-501,501,9944.490201
-470,470,9957.242661
-501,501,9969.22294
-389,389,9981.961292
-501,501,9992.082639
-501,501,10004.797491
-501,501,10017.994006
-501,501,10030.846794
-501,501,10043.559333
-501,501,10056.444853
-501,501,10071.057843
-501,501,10084.667239
-501,501,10097.429452
-501,501,10110.346341
-501,501,10123.789465
-501,501,10136.562532
-501,501,10147.84998
-501,501,10159.131872
-501,501,10170.806831
-501,501,10182.387757
-501,501,10193.558668
